qlab_cue_number,projector,clip_part,clip_id,source,osc_file,osc_list_name,pixera_catalog_name,alias_note,suggested_filename
KI_LED.BK2_Mavie,led,BK2_Mavie,bk2_mavie,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK2_Mavie,BK2_Mavie,,BK2_Mavie.mp4
KI_LED.BK3_Thomas,led,BK3_Thomas,bk3_thomas,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK3_Thomas,BK3_Thomas,,BK3_Thomas.mp4
KI_LED.BK5_Nicolas,led,BK5_Nicolas,bk5_nicolas,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK5_Nicolas,BK5_Nicolas,,BK5_Nicolas.mp4
KI_LED.BK6_Branko,led,BK6_Branko,bk6_branko,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK6_Branko,BK6_Branko,,BK6_Branko.mp4
KI_LED.BK7_Caroline,led,BK7_Caroline,bk7_caroline,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK7_Caroline,BK7_Caroline,,BK7_Caroline.mp4
KI_LED.BK7_Nasenfisch,led,BK7_Nasenfisch,bk7_nasenfisch,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK7_Nasenfisch,BK7_Nasenfisch,,BK7_Nasenfisch.mp4
KI_LED.BK8_HaiSchaedel,led,BK8_HaiSchaedel,bk8_haischaedel,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK8_HaiSchaedel,BK8_HaiSchaedel,,BK8_HaiSchaedel.mp4
KI_LED.BK8_Mavie,led,BK8_Mavie,bk8_mavie,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK8_Mavie,BK8_Mavie,,BK8_Mavie.mp4
KI_LED.BK8_Mavie1,led,BK8_Mavie1,bk8_mavie1,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK8_Mavie1,BK8_Mavie1,,BK8_Mavie1.mp4
KI_LED.BK9_Thiemo,led,BK9_Thiemo,bk9_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_LED.BK9_Thiemo,BK9_Thiemo,,BK9_Thiemo.mp4
KI_LED.Bitcoinfahrt,led,Bitcoinfahrt,bitcoinfahrt,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.Bitcoinfahrt,Bitcoinfahrt,,Bitcoinfahrt.mp4
KI_LED.Black,led,Black,black,database+atmosphere,OSCBefehlliste.txt,KI_LED.Black,Black,,Black.mp4
KI_LED.Bonnie,led,Bonnie,bonnie,database+atmosphere,OSCBefehlliste.txt,KI_LED.Bonnie,Bonnie,,Bonnie.mp4
KI_LED.Branko,led,Branko,branko,database+atmosphere,OSCBefehlliste.txt,KI_LED.Branko,Branko,,Branko.mp4
KI_LED.Clyde,led,Clyde,clyde,database+atmosphere,OSCBefehlliste.txt,KI_LED.Clyde,Clyde,,Clyde.mp4
KI_LED.DEL1_Nicolas,led,DEL1_Nicolas,del1_nicolas,avatar,OSCBefehllisteAvatare.txt,KI_LED.DEL1_Nicolas,DEL1_Nicolas,,DEL1_Nicolas.mp4
KI_LED.DEL2,led,DEL2,del2,avatar,OSCBefehllisteAvatare.txt,KI_LED.DEL2,DEL2,,DEL2.mp4
KI_LED.DEL3,led,DEL3,del3,avatar,OSCBefehllisteAvatare.txt,KI_LED.DEL3,DEL3,,DEL3.mp4
KI_LED.DEL4,led,DEL4,del4,avatar,OSCBefehllisteAvatare.txt,KI_LED.DEL4,DEL4,,DEL4.mp4
KI_LED.DasLammGottes,led,DasLammGottes,daslammgottes,avatar,OSCBefehllisteAvatare.txt,KI_LED.DasLammGottes,DasLammGottes,,DasLammGottes.mp4
KI_LED.DerHaseVerlaesstDieBuehne,led,DerHaseVerlaesstDieBuehne,derhaseverlaesstdiebuehne,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.DerHaseVerlaesstDieBuehne,DerHaseVerlaesstDieBuehne,,DerHaseVerlaesstDieBuehne.mp4
KI_LED.Esel,led,Esel,esel,database+atmosphere,OSCBefehlliste.txt,KI_LED.Esel,Esel,,Esel.mp4
KI_LED.EselLaeuft,led,EselLaeuft,esellaeuft,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.EselLaeuft,EselLaeuft,,EselLaeuft.mp4
KI_LED.FischUndWassergewäsch,led,FischUndWassergewäsch,fischundwassergewasch,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.FischUndWassergewäsch,FischUndWassergewäsch,,FischUndWassergewäsch.mp4
KI_LED.Gehirn,led,Gehirn,gehirn,database+atmosphere,OSCBefehlliste.txt,KI_LED.Gehirn,Gehirn,,Gehirn.mp4
KI_LED.GehirnTest,led,GehirnTest,gehirntest,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.GehirnTest,GehirnTest,,GehirnTest.mp4
KI_LED.HierUnterDerErde,led,HierUnterDerErde,hierunterdererde,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.HierUnterDerErde,HierUnterDerErde,,HierUnterDerErde.mp4
KI_LED.HundeThiel,led,HundeThiel,hundethiel,database+atmosphere,OSCBefehlliste.txt,KI_LED.HundeThiel,HundeThiel,,HundeThiel.mp4
KI_LED.HundeThielAlsPipita,led,HundeThielAlsPipita,hundethielalspipita,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.HundeThielAlsPipita,HundeThielAlsPipita,,HundeThielAlsPipita.mp4
KI_LED.IPad,led,IPad,ipad,database+atmosphere,OSCBefehlliste.txt,KI_LED.IPad,Ipad,,IPad.mp4
KI_LED.Inge,led,Inge,inge,database+atmosphere,OSCBefehlliste.txt,KI_LED.Inge,Inge,,Inge.mp4
KI_LED.Kaefer,led,Kaefer,kaefer,database+atmosphere,OSCBefehlliste.txt,KI_LED.Kaefer,Kaefer,,Kaefer.mp4
KI_LED.KaeferImMuseum,led,KaeferImMuseum,kaeferimmuseum,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.KaeferImMuseum,KaeferImMuseum,,KaeferImMuseum.mp4
KI_LED.KonzeptionUnterTieren,led,KonzeptionUnterTieren,konzeptionuntertieren,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.KonzeptionUnterTieren,KonzeptionUnterTieren,,KonzeptionUnterTieren.mp4
KI_LED.KuscheltierSchlachtung,led,KuscheltierSchlachtung,kuscheltierschlachtung,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.KuscheltierSchlachtung,KuscheltierSchlachtung,,KuscheltierSchlachtung.mp4
KI_LED.LG2_Inge,led,LG2_Inge,lg2_inge,avatar,OSCBefehllisteAvatare.txt,KI_LED.LG2_Inge,LG2_Inge,,LG2_Inge.mp4
KI_LED.LG3_Seb,led,LG3_Seb,lg3_seb,avatar,OSCBefehllisteAvatare.txt,KI_LED.LG3_Seb,LG3_Seb,,LG3_Seb.mp4
KI_LED.LG4_Azaria,led,LG4_Azaria,lg4_azaria,avatar,OSCBefehllisteAvatare.txt,KI_LED.LG4_Azaria,LG4_Azaria,,LG4_Azaria.mp4
KI_LED.LG5_Henrike,led,LG5_Henrike,lg5_henrike,avatar,OSCBefehllisteAvatare.txt,KI_LED.LG5_Henrike,LG5_Henrike,,LG5_Henrike.mp4
KI_LED.LG6_Hai,led,LG6_Hai,lg6_hai,avatar,OSCBefehllisteAvatare.txt,KI_LED.LG6_Hai,LG6_Hai,,LG6_Hai.mp4
KI_LED.MO1_SebMusik,led,MO1_SebMusik,mo1_sebmusik,avatar,OSCBefehllisteAvatare.txt,KI_LED.MO1_SebMusik,MO1_SebMusik,,MO1_SebMusik.mp4
KI_LED.MO2_Branko,led,MO2_Branko,mo2_branko,avatar,OSCBefehllisteAvatare.txt,KI_LED.MO2_Branko,MO2_Branko,,MO2_Branko.mp4
KI_LED.MO3_Caro,led,MO3_Caro,mo3_caro,avatar,OSCBefehllisteAvatare.txt,KI_LED.MO3_Caro,MO3_Caro,,MO3_Caro.mp4
KI_LED.MO3_Dachs,led,MO3_Dachs,mo3_dachs,avatar,OSCBefehllisteAvatare.txt,KI_LED.MO3_Dachs,MO3_Dachs,,MO3_Dachs.mp4
KI_LED.Macbook,led,Macbook,macbook,database+atmosphere,OSCBefehlliste.txt,KI_LED.Macbook,Macbook,,Macbook.mp4
KI_LED.MehlwuermerLangsam,led,MehlwuermerLangsam,mehlwuermerlangsam,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.MehlwuermerLangsam,MehlwuermerLangsam,,MehlwuermerLangsam.mp4
KI_LED.Mehlwurm,led,Mehlwurm,mehlwurm,database+atmosphere,OSCBefehlliste.txt,KI_LED.Mehlwurm,Mehlwurm,,Mehlwurm.mp4
KI_LED.Musiker,led,Musiker,musiker,database+atmosphere,OSCBefehlliste.txt,KI_LED.Musiker,Musiker,,Musiker.mp4
KI_LED.Nicolas,led,Nicolas,nicolas,database+atmosphere,OSCBefehlliste.txt,KI_LED.Nicolas,Nicolas,,Nicolas.mp4
KI_LED.Odyssee,led,Odyssee,odyssee,database+atmosphere,OSCBefehlliste.txt,KI_LED.Odyssee,Odyssee,,Odyssee.mp4
KI_LED.PET0_Baer_Thomas,led,PET0_Baer_Thomas,pet0_baer_thomas,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET0_Baer_Thomas,PET0_Baer_Thomas,,PET0_Baer_Thomas.mp4
KI_LED.PET1_Azaria,led,PET1_Azaria,pet1_azaria,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET1_Azaria,PET1_Azaria,,PET1_Azaria.mp4
KI_LED.PET1_Thomas,led,PET1_Thomas,pet1_thomas,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET1_Thomas,PET1_Thomas,,PET1_Thomas.mp4
KI_LED.PET2_Inge,led,PET2_Inge,pet2_inge,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET2_Inge,PET2_Inge,,PET2_Inge.mp4
KI_LED.PET3_Caroline,led,PET3_Caroline,pet3_caroline,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET3_Caroline,PET3_Caroline,,PET3_Caroline.mp4
KI_LED.PET3_Koala,led,PET3_Koala,pet3_koala,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET3_Koala,PET3_Koala,,PET3_Koala.mp4
KI_LED.PET4_Sebastian,led,PET4_Sebastian,pet4_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET4_Sebastian,PET4_Sebastian,,PET4_Sebastian.mp4
KI_LED.PET5_Azaria,led,PET5_Azaria,pet5_azaria,avatar,OSCBefehllisteAvatare.txt,KI_LED.PET5_Azaria,PET5_Azaria,,PET5_Azaria.mp4
KI_LED.Random,led,Random,random,database+atmosphere,OSCBefehlliste.txt,KI_LED.Random,Random,,Random.mp4
KI_LED.SCH1_Sebastian,led,SCH1_Sebastian,sch1_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH1_Sebastian,SCH1_Sebastian,,SCH1_Sebastian.mp4
KI_LED.SCH2_Azaria,led,SCH2_Azaria,sch2_azaria,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH2_Azaria,SCH2_Azaria,,SCH2_Azaria.mp4
KI_LED.SCH2_Azaria_als_Schaf,led,SCH2_Azaria_als_Schaf,sch2_azaria_als_schaf,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH2_Azaria_als_Schaf,SCH2_Azaria_als_Schaf,,SCH2_Azaria_als_Schaf.mp4
KI_LED.SCH2_AzariawirdSchaf,led,SCH2_AzariawirdSchaf,sch2_azariawirdschaf,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH2_AzariawirdSchaf,SCH2_AzariawirdSchaf,,SCH2_AzariawirdSchaf.mp4
KI_LED.SCH3_IngewirdSchaf,led,SCH3_IngewirdSchaf,sch3_ingewirdschaf,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH3_IngewirdSchaf,SCH3_IngewirdSchaf,,SCH3_IngewirdSchaf.mp4
KI_LED.SCH4_Thomas,led,SCH4_Thomas,sch4_thomas,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH4_Thomas,SCH4_Thomas,,SCH4_Thomas.mp4
KI_LED.SCH5_SchafSolo_Mavie,led,SCH5_SchafSolo_Mavie,sch5_schafsolo_mavie,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH5_SchafSolo_Mavie,SCH5_SchafSolo_Mavie,,SCH5_SchafSolo_Mavie.mp4
KI_LED.SCH6_Schafherde,led,SCH6_Schafherde,sch6_schafherde,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH6_Schafherde,SCH6_Schafherde,,SCH6_Schafherde.mp4
KI_LED.SCH7_Schaf_Single_Sebastian,led,SCH7_Schaf_Single_Sebastian,sch7_schaf_single_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH7_Schaf_Single_Sebastian,SCH7_Schaf_Single_Sebastian,,SCH7_Schaf_Single_Sebastian.mp4
KI_LED.SCH8_Viele_Schafe_Caro,led,SCH8_Viele_Schafe_Caro,sch8_viele_schafe_caro,avatar,OSCBefehllisteAvatare.txt,KI_LED.SCH8_Viele_Schafe_Caro,SCH8_Viele_Schafe_Caro,,SCH8_Viele_Schafe_Caro.mp4
KI_LED.Sebastian,led,Sebastian,sebastian,database+atmosphere,OSCBefehlliste.txt,KI_LED.Sebastian,Sebastian,,Sebastian.mp4
KI_LED.SebastianBlurry,led,SebastianBlurry,sebastianblurry,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.SebastianBlurry,SebastianBlurry,,SebastianBlurry.mp4
KI_LED.SturmFischskellet,led,SturmFischskellet,sturmfischskellet,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.SturmFischskellet,SturmFischskellet,,SturmFischskellet.mp4
KI_LED.Thiemo,led,Thiemo,thiemo,database+atmosphere,OSCBefehlliste.txt,KI_LED.Thiemo,Thiemo,,Thiemo.mp4
KI_LED.Thomas,led,Thomas,thomas,database+atmosphere,OSCBefehlliste.txt,KI_LED.Thomas,Thomas,,Thomas.mp4
KI_LED.WO1_Kaenguru,led,WO1_Kaenguru,wo1_kaenguru,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO1_Kaenguru,WO1_Kaenguru,,WO1_Kaenguru.mp4
KI_LED.WO2_Branko,led,WO2_Branko,wo2_branko,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO2_Branko,WO2_Branko,,WO2_Branko.mp4
KI_LED.WO3_Seb_Musik,led,WO3_Seb_Musik,wo3_seb_musik,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO3_Seb_Musik,WO3_Seb_Musik,,WO3_Seb_Musik.mp4
KI_LED.WO4_Nicolas,led,WO4_Nicolas,wo4_nicolas,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO4_Nicolas,WO4_Nicolas,,WO4_Nicolas.mp4
KI_LED.WO4_Schimpanse,led,WO4_Schimpanse,wo4_schimpanse,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO4_Schimpanse,WO4_Schimpanse,,WO4_Schimpanse.mp4
KI_LED.WO5_Thiemo,led,WO5_Thiemo,wo5_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO5_Thiemo,WO5_Thiemo,,WO5_Thiemo.mp4
KI_LED.WO6_Mavie,led,WO6_Mavie,wo6_mavie,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO6_Mavie,WO6_Mavie,,WO6_Mavie.mp4
KI_LED.WO6_Schimpanse,led,WO6_Schimpanse,wo6_schimpanse,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO6_Schimpanse,WO6_Schimpanse,,WO6_Schimpanse.mp4
KI_LED.WO7_Sebastian,led,WO7_Sebastian,wo7_sebastian,avatar,OSCBefehllisteAvatare.txt,KI_LED.WO7_Sebastian,WO7_Sebastian,,WO7_Sebastian.mp4
KI_LED.Wasserfahrt,led,Wasserfahrt,wasserfahrt,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_LED.Wasserfahrt,Wasserfahrt,,Wasserfahrt.mp4
KI_RZ21.AffenSlowOdysee,rz21,AffenSlowOdysee,affenslowodysee,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.AffenSlowOdysee,AffenSlowOdysee,,AffenSlowOdysee.mp4
KI_RZ21.Avatar,rz21,Avatar,avatar,database+atmosphere,OSCBefehlliste.txt,KI_RZ21.Avatar,Avatar,,Avatar.mp4
KI_RZ21.Avatar2,rz21,Avatar2,avatar2,database+atmosphere,OSCBefehlliste.txt,KI_RZ21.Avatar2,Avatar2,,Avatar2.mp4
KI_RZ21.Avatar_IV_Video,rz21,Avatar_IV_Video,avatar_iv_video,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.Avatar_IV_Video,Avatar_IV_Video,,Avatar_IV_Video.mp4
KI_RZ21.Avatar_IV_Video2,rz21,Avatar_IV_Video2,avatar_iv_video2,atmosphere,OSCBefehllisteOhneAvatare.txt,KI_RZ21.Avatar_IV_Video2,Avatar_IV_Video2,,Avatar_IV_Video2.mp4
KI_RZ21.BAK1_NicolasPflanzen3,rz21,BAK1_NicolasPflanzen3,bak1_nicolaspflanzen3,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK1_NicolasPflanzen3,BAK1_NicolasPflanzen3,,BAK1_NicolasPflanzen3.mp4
KI_RZ21.BAK2_Krabbe,rz21,BAK2_Krabbe,bak2_krabbe,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK2_Krabbe,BAK2_Krabbe,,BAK2_Krabbe.mp4
KI_RZ21.BAK3_Hasen,rz21,BAK3_Hasen,bak3_hasen,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK3_Hasen,BAK3_Hasen,,BAK3_Hasen.mp4
KI_RZ21.BAK3_Mavie,rz21,BAK3_Mavie,bak3_mavie,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK3_Mavie,BAK3_Mavie,,BAK3_Mavie.mp4
KI_RZ21.BAK4_Inge,rz21,BAK4_Inge,bak4_inge,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK4_Inge,BAK4_Inge,,BAK4_Inge.mp4
KI_RZ21.BAK5_Thiemo,rz21,BAK5_Thiemo,bak5_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK5_Thiemo,BAK5_Thiemo,,BAK5_Thiemo.mp4
KI_RZ21.BAK6_Azaria,rz21,BAK6_Azaria,bak6_azaria,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BAK6_Azaria,BAK6_Azaria,,BAK6_Azaria.mp4
KI_RZ21.BK0_Waran,rz21,BK0_Waran,bk0_waran,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK0_Waran,BK0_Waran,,BK0_Waran.mp4
KI_RZ21.BK1_Caro,rz21,BK1_Caro,bk1_caro,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK1_Caro,BK1_Caro,,BK1_Caro.mp4
KI_RZ21.BK1_Caroline,rz21,BK1_Caroline,bk1_caroline,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK1_Caroline,BK1_Caroline,,BK1_Caroline.mp4
KI_RZ21.BK1_Thomas,rz21,BK1_Thomas,bk1_thomas,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK1_Thomas,BK1_Thomas,,BK1_Thomas.mp4
KI_RZ21.BK2_Hundswolf,rz21,BK2_Hundswolf,bk2_hundswolf,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK2_Hundswolf,BK2_Hundswolf,,BK2_Hundswolf.mp4
KI_RZ21.BK2_Mavie,rz21,BK2_Mavie,bk2_mavie,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK2_Mavie,BK2_Mavie,,BK2_Mavie.mp4
KI_RZ21.BK3_Thomas,rz21,BK3_Thomas,bk3_thomas,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK3_Thomas,BK3_Thomas,,BK3_Thomas.mp4
KI_RZ21.BK5_Nicolas,rz21,BK5_Nicolas,bk5_nicolas,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK5_Nicolas,BK5_Nicolas,,BK5_Nicolas.mp4
KI_RZ21.BK6_Branko,rz21,BK6_Branko,bk6_branko,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK6_Branko,BK6_Branko,,BK6_Branko.mp4
KI_RZ21.BK7_Caroline,rz21,BK7_Caroline,bk7_caroline,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK7_Caroline,BK7_Caroline,,BK7_Caroline.mp4
KI_RZ21.BK7_Nasenfisch,rz21,BK7_Nasenfisch,bk7_nasenfisch,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK7_Nasenfisch,BK7_Nasenfisch,,BK7_Nasenfisch.mp4
KI_RZ21.BK8_HaiSchaedel,rz21,BK8_HaiSchaedel,bk8_haischaedel,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK8_HaiSchaedel,BK8_HaiSchaedel,,BK8_HaiSchaedel.mp4
KI_RZ21.BK8_Mavie,rz21,BK8_Mavie,bk8_mavie,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK8_Mavie,BK8_Mavie,,BK8_Mavie.mp4
KI_RZ21.BK8_Mavie1,rz21,BK8_Mavie1,bk8_mavie1,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK8_Mavie1,BK8_Mavie1,,BK8_Mavie1.mp4
KI_RZ21.BK9_Thiemo,rz21,BK9_Thiemo,bk9_thiemo,avatar,OSCBefehllisteAvatare.txt,KI_RZ21.BK9_Thiemo,BK9_Thiemo,,BK9_Thiemo.mp4
